"logFC","AveExpr","t","P.Value","adj.P.Val","B","probe","Symbol","ENTREZID"
-3.70096058738497,6.71452072164131,-8.3332158948432,4.1005248194028e-09,4.5218635965731e-06,10.8987729414038,"209820_s_at","TBL3","10607"
-2.62889881351298,6.63881590535248,-8.32896167620131,4.14349429827602e-09,4.5218635965731e-06,10.8889124642595,"204442_x_at","LTBP4","8425"
-3.76991631332604,6.21720161957905,-8.31970371569584,4.23860099358704e-09,4.5218635965731e-06,10.8674451257733,"220744_s_at","IFT122","55764"
-2.95985851569064,5.72488742320979,-8.27769953643581,4.69894361360019e-09,4.89361413473506e-06,10.769888917567,"223628_at","TMEM191A","84222"
-2.14575239902487,11.4713911761512,-8.26234567408574,4.87969726294831e-09,4.89870190155992e-06,10.734164883486,"231969_at","STOX2","56977"
-1.99717004229273,12.2141247462791,-8.25835577142471,4.92782084290435e-09,4.89870190155992e-06,10.7248759096503,"215235_at","SPTAN1","6709"
-3.72754250699785,6.5402701863307,-8.24016577484488,5.15343695503143e-09,5.00914072029055e-06,10.6824980779559,"218840_s_at","NADSYN1","55191"
-2.67906862723623,10.4680747986937,-8.16995757264428,6.12792285485155e-09,5.61230829853716e-06,10.5184813854625,"203619_s_at","FAIM2","23017"
-2.69620167599996,11.4626145996679,-8.15543557521179,6.35193315518459e-09,5.61230829853716e-06,10.4844667687001,"225535_s_at","TIMM23","100287932"
-2.5845293487098,10.3664803688991,-8.15314068564292,6.38809089962909e-09,5.61230829853716e-06,10.4790887004463,"204454_at","LDOC1","23641"
-1.97006814706676,9.81446811952415,-8.14753516689681,6.47729651509237e-09,5.61230829853716e-06,10.4659489815809,"236294_at","HUWE1","10075"
-2.12877806841556,9.54286481947126,-8.1438736120599,6.53625201549954e-09,5.61230829853716e-06,10.457363596477,"235647_at","AP4S1","11154"
-3.89195025129819,8.80163913479691,-8.13348950647877,6.70644732697008e-09,5.61230829853716e-06,10.4330050660641,"220584_at","PRR36","80164"
3.5556940295899,9.36158832363187,8.13077241803134,6.75172280708429e-09,5.61230829853716e-06,10.42662888342,"223059_s_at","FAM107B","83641"
-4.40494922155838,7.48706396299164,-8.12786800183265,6.80046501651736e-09,5.61230829853716e-06,10.4198119216728,"206014_at","ACTL6B","51412"
-2.63539206823314,11.5946521798436,-8.07855600073333,7.68513157148989e-09,6.22495657290681e-06,10.303886127454,"209058_at","EDF1","8721"
-3.23170656543055,5.09150297653309,-8.05775081076814,8.09284123659803e-09,6.43601592161451e-06,10.2548710601082,"204857_at","MAD1L1","8379"
-2.89196623281679,6.0942119131146,-8.04886871640234,8.27356313860378e-09,6.46224378004517e-06,10.2339267585592,"223719_s_at","RTBDN","83546"
-3.43752393602476,6.43736758830563,-8.00025407014173,9.33831815085945e-09,7.16593045471215e-06,10.1190914591334,"241428_x_at","TCEA2","6919"
-2.64588170428625,7.25597971670135,-7.98833229228964,9.62015535610436e-09,7.25492405648284e-06,10.0908787861355,"209364_at","BAD","572"
-3.23372753260189,8.85202099062956,-7.96824197696239,1.01148965058815e-08,7.4987385282586e-06,10.0432895418301,"212281_s_at","TMEM97","27346"
-2.20779440155811,11.4836180643097,-7.94840150209424,1.06289910705344e-08,7.74853449041955e-06,9.99623568424594,"204584_at","L1CAM","3897"
-2.72460655794643,5.0247209138136,-7.92525319222675,1.12626336248044e-08,8.0758622089991e-06,9.94126618855444,"239733_at","DYDC2","84332"
-2.30069067421675,9.4653595478922,-7.88862246924409,1.2345132742786e-08,8.70929203499131e-06,9.85412516897124,"204230_s_at","SLC17A7","57030"
-2.92252731154477,6.97157450195968,-7.87626802312775,1.27337030573554e-08,8.83359265249658e-06,9.82469228747531,"204216_s_at","ZC3H14","79882"
-3.60728497924781,6.73413626942036,-7.85928362664934,1.32883587256885e-08,8.83359265249658e-06,9.78419395667786,"221777_at","RITA1","84934"
-2.32525702925848,8.44884216725902,-7.85661714230051,1.33776500648706e-08,8.83359265249658e-06,9.77783217965766,"225441_x_at","NAA38","84316"
3.70321089185679,8.98547012856939,7.85452859516247,1.34480156063577e-08,8.83359265249658e-06,9.77284856224471,"225239_at","NEAT1","283131"
-2.73203938026363,9.33724857956284,-7.85207657622507,1.35311090013093e-08,8.83359265249658e-06,9.76699685665079,"212664_at","TUBB4A","10382"
-2.46703679820155,9.36929163951975,-7.79415355553428,1.56539788190392e-08,9.84153823554278e-06,9.62851852686705,"227441_s_at","ANKS1B","56899"
-3.22728400338915,7.82749589339575,-7.7883706156707,1.58837774461674e-08,9.84153823554278e-06,9.61466722789256,"209083_at","CORO1A","11151"
-3.86897378335285,6.67108602355013,-7.78782599572441,1.59055957058446e-08,9.84153823554278e-06,9.61336251282351,"209381_x_at","SF3A2","8175"
-2.71458701473676,7.52443640612127,-7.78609706141284,1.597506206501e-08,9.84153823554278e-06,9.6092203280104,"218657_at","RAPGEFL1","51195"
